param_n_estimators,mean_test_score,rank_test_score,mean_train_score
1,0.7668182422550194,1,0.7668693560567095
2,0.7668182422550194,1,0.7668693560567095
3,0.7514055119817808,14,0.7692057843225892
4,0.7571416077763011,12,0.7706386602744865
5,0.7580506986853921,9,0.7710937234345611
6,0.7546015008244297,13,0.7751269040610278
7,0.7572966104888487,11,0.7731304321188015
8,0.7466645691528959,15,0.7754002147916651
9,0.7593420739220734,8,0.7750266452450829
10,0.7624299128216394,5,0.7791304117765634
11,0.7615208219125487,6,0.7820543100631806
12,0.7600238832161214,7,0.7802890575413978
13,0.7632963779847799,4,0.7805931191859313
14,0.7640341908965059,3,0.7838195625849634
15,0.7573363388217091,10,0.7865895601026456
